alcohol;sulphates;volatile acidity;citric acid;residual sugar;pH;quality
9.2;0.61;0.42;0.17;2.0;3.29;6
9.2;0.61;0.42;0.17;2.0;3.29;6
11.5;0.57;0.62;0.05;1.9;3.42;6
9.5;0.47;0.38;0.21;2.0;3.33;5
9.5;0.78;0.5;0.04;1.5;3.35;5
9.5;0.47;0.38;0.21;2.0;3.33;5
10.5;0.61;0.52;0.42;2.3;3.58;6
9.6;0.56;0.805;0.0;2.5;3.48;5
9.5;0.59;0.61;0.14;2.4;3.19;5
9.5;0.59;0.61;0.14;2.4;3.19;5
9.3;1.02;0.61;0.49;2.0;3.12;5
9.3;0.52;0.73;0.02;2.5;3.44;5
9.3;0.58;0.61;0.2;1.8;3.54;5
9.3;0.58;0.62;0.21;1.9;3.52;6
9.7;0.53;0.31;0.57;2.0;3.26;5
9.2;0.55;0.39;0.48;2.0;3.34;5
9.7;0.49;0.705;0.1;2.6;3.39;5
9.5;0.55;0.5;0.33;2.0;3.2;5
9.5;0.55;0.49;0.32;1.9;3.2;5
9.4;0.62;0.5;0.35;2.9;3.23;5
9.8;0.62;0.37;0.25;1.9;3.57;6
9.5;0.61;0.63;0.12;3.8;3.28;5
9.7;0.55;0.55;0.21;2.2;3.28;5
9.7;0.55;0.55;0.21;2.2;3.28;5
9.4;0.54;0.59;0.33;2.0;3.25;5
10.2;0.59;0.58;0.3;2.4;3.46;5
10.1;0.97;0.3;0.6;2.0;3.11;6
13.0;0.85;0.835;0.08;1.2;3.57;7
11.4;0.43;1.09;0.06;2.1;3.51;4
10.3;0.82;0.32;0.47;1.4;3.22;7
9.3;1.03;0.37;0.48;2.1;3.04;5
9.5;0.79;0.5;0.11;1.5;3.36;5
9.2;0.55;0.42;0.35;1.6;3.34;5
9.2;0.56;0.43;0.36;1.6;3.34;6
10.8;0.77;0.3;0.74;2.6;3.2;7
10.8;0.77;0.3;0.74;2.6;3.2;7
9.3;0.53;0.57;0.31;1.8;3.29;5
9.4;0.67;0.44;0.28;2.7;3.22;5
10.5;0.88;0.3;0.58;2.1;3.31;7
12.4;0.86;0.53;0.6;2.0;3.3;6
10.0;0.56;0.725;0.24;2.8;3.35;6
10.2;0.67;0.44;0.64;2.1;3.21;6
10.1;0.43;0.57;0.26;2.2;3.3;5
9.8;0.71;0.735;0.08;2.4;3.24;6
10.5;0.76;0.49;0.49;5.6;3.34;5
11.0;0.57;0.625;0.16;2.0;3.14;5
9.1;0.55;0.725;0.22;2.2;3.36;5
9.7;0.54;0.49;0.19;1.9;3.39;5
9.5;0.6;0.53;0.33;2.4;3.3;5
9.4;0.59;0.34;0.37;2.0;3.34;6
9.4;0.57;0.53;0.26;2.0;3.15;5
9.5;0.6;0.61;0.04;1.5;3.42;5
10.0;0.6;0.645;0.25;2.0;3.28;6
10.4;0.57;0.635;0.36;2.0;3.31;4
10.5;0.58;0.43;0.25;2.6;3.37;6
9.5;1.61;0.59;0.5;2.0;3.04;6
9.8;0.63;0.82;0.14;2.6;3.39;5
10.5;0.58;0.43;0.25;2.6;3.37;6
11.0;0.5;0.52;0.25;2.6;3.46;5
12.2;0.62;0.48;0.04;1.6;3.54;7
9.9;0.52;0.38;0.06;1.8;3.37;6
9.6;0.7;0.37;0.2;2.8;3.34;6
11.0;0.5;0.52;0.25;2.6;3.46;5
9.0;0.55;1.0;0.09;2.3;3.32;6
9.0;0.58;0.63;0.0;1.9;3.37;6
9.0;0.58;0.63;0.0;1.9;3.37;6
9.2;0.58;0.645;0.0;1.9;3.37;6
9.0;0.58;0.63;0.0;1.9;3.37;6
9.0;0.55;1.0;0.09;2.3;3.32;6
9.3;1.09;0.635;0.37;1.7;3.0;5
10.9;0.71;0.38;0.56;2.1;3.14;6
9.8;0.49;0.58;0.1;1.8;3.08;6
9.2;0.84;0.21;0.44;2.2;3.07;7
9.2;0.84;0.21;0.44;2.2;3.07;7
9.9;0.96;0.66;0.0;2.0;3.61;6
9.5;0.52;0.68;0.07;1.9;3.38;5
9.3;0.45;0.6;0.17;2.3;3.2;5
9.8;0.48;0.53;0.06;1.7;3.35;6
9.9;0.96;0.66;0.0;2.0;3.61;6
10.0;0.78;0.32;0.44;1.6;3.22;6
9.9;0.7;0.6;0.0;1.8;3.47;6
10.5;0.53;0.35;0.48;3.1;3.17;5
9.5;0.59;0.775;0.42;1.9;3.23;5
9.9;0.7;0.6;0.0;1.8;3.47;6
9.3;0.57;0.57;0.23;3.2;3.26;5
9.2;0.62;0.34;0.37;2.2;3.22;5
9.2;0.67;0.695;0.0;2.1;3.49;5
9.4;1.26;0.41;0.76;1.8;3.06;5
10.5;0.8;0.31;0.47;2.6;3.36;7
9.3;0.65;0.33;0.23;1.7;3.29;5
9.4;0.6;0.975;0.04;2.0;3.35;4
10.0;0.57;0.52;0.03;1.7;3.34;5
9.3;0.67;0.37;0.23;1.8;3.28;5
10.9;0.87;0.56;0.49;2.4;3.08;5
10.2;0.72;0.26;0.52;1.8;3.2;7
9.8;0.72;0.87;0.0;3.3;3.6;4
12.8;0.86;0.35;0.46;3.6;3.35;8
9.4;0.91;0.54;0.04;3.0;3.69;6
10.1;0.97;0.18;0.51;4.0;3.28;6
10.7;0.67;0.545;0.06;4.0;3.36;6
10.1;0.97;0.18;0.51;4.0;3.28;6
10.1;0.78;0.37;0.58;4.0;3.22;5
9.4;0.64;0.715;0.2;2.4;3.31;5
9.4;0.77;0.65;0.18;7.0;3.38;5
10.7;0.67;0.545;0.06;4.0;3.36;6
9.4;0.91;0.54;0.04;3.0;3.69;6
10.1;0.97;0.18;0.51;4.0;3.28;6
12.6;0.82;0.32;0.45;6.4;3.23;8
10.5;0.77;0.4;0.32;5.6;3.38;7
9.3;0.82;0.26;0.44;3.6;3.12;6
9.9;1.08;0.27;0.68;3.5;3.25;7
9.1;0.57;0.52;0.12;3.0;3.36;5
10.5;0.77;0.4;0.32;5.6;3.38;7
9.8;0.71;0.59;0.07;3.4;3.31;5
9.8;0.71;0.59;0.07;3.4;3.31;5
10.3;0.76;0.45;0.55;2.0;3.1;6
10.3;0.7;0.4;0.12;3.0;3.37;6
10.6;0.86;0.52;0.09;2.5;3.34;7
9.2;0.95;0.42;0.53;3.3;3.2;5
10.6;0.86;0.52;0.09;2.5;3.34;7
10.5;0.71;0.2;0.48;2.0;3.3;5
10.3;0.64;0.55;0.23;2.7;3.22;6
10.1;0.6;0.36;0.25;2.4;3.41;6
9.5;0.81;0.34;0.52;3.2;3.05;6
9.5;0.64;0.5;0.46;2.5;3.05;5
9.9;0.52;0.83;0.37;2.6;3.16;5
9.6;0.73;0.63;0.06;2.0;3.67;5
9.7;0.8;0.65;0.02;2.3;3.67;5
9.6;0.71;0.67;0.06;2.1;3.68;5
10.7;0.59;0.53;0.06;2.6;3.38;6
10.1;0.64;0.18;0.48;1.5;3.22;6
10.0;0.72;0.705;0.12;2.6;3.51;5
9.5;0.54;0.67;0.12;1.6;3.39;5
9.2;0.52;0.65;0.6;2.1;3.2;5
9.3;0.59;0.53;0.48;2.5;3.12;6
9.4;0.52;0.62;0.32;2.2;3.36;5
9.5;0.62;0.41;0.42;2.4;3.19;6
9.5;0.63;0.43;0.44;2.4;3.19;6
9.5;0.53;0.29;0.38;1.7;3.41;6
9.3;0.59;0.53;0.48;2.5;3.12;6
9.4;0.54;0.53;0.24;2.0;3.27;6
9.5;0.63;0.46;0.31;2.8;3.32;6
9.4;0.53;0.47;0.3;3.0;3.3;5
11.0;0.68;0.36;0.29;2.6;3.39;5
11.0;0.65;0.35;0.29;2.5;3.42;6
10.1;0.65;0.56;0.23;3.4;3.3;5
10.4;0.64;0.77;0.12;2.9;3.3;6
11.5;0.71;0.66;0.39;3.2;3.37;7
10.4;0.64;0.77;0.12;2.9;3.3;6
11.5;0.71;0.66;0.39;3.2;3.37;7
9.7;0.62;0.61;0.26;3.4;3.24;5
9.3;0.63;0.62;0.05;2.3;3.29;5
9.5;0.7;0.59;0.42;2.8;3.28;6
9.2;0.69;0.49;0.2;11.0;3.16;6
9.2;0.69;0.49;0.2;11.0;3.16;6
11.5;0.74;0.53;0.66;3.65;3.05;7
11.5;0.83;0.44;0.5;4.5;3.28;5
9.7;0.67;0.27;0.62;2.6;3.16;6
9.5;0.62;0.46;0.39;2.0;3.18;5
12.5;0.66;0.36;0.64;2.9;3.23;6
12.5;0.66;0.36;0.64;2.9;3.23;6
9.4;0.54;0.58;0.28;3.2;3.22;6
11.0;0.52;0.56;0.08;2.1;3.13;5
11.7;0.74;0.65;0.01;2.5;3.34;7
12.2;0.84;0.695;0.53;3.4;3.17;7
12.5;0.7;0.43;0.45;1.9;3.35;6
10.3;0.64;0.43;0.32;2.8;3.31;5
11.5;1.0;0.49;0.58;3.0;3.16;6
9.8;1.36;0.28;0.54;2.3;3.11;7
9.2;1.18;0.34;0.5;2.4;3.12;6
11.3;0.87;0.42;0.48;2.7;3.21;6
9.8;0.75;0.39;0.47;1.8;3.3;6
9.8;0.75;0.39;0.47;1.8;3.3;6
10.7;0.78;0.57;0.5;2.6;3.12;6
9.9;0.81;0.685;0.0;1.9;3.6;5
12.3;0.89;0.815;0.02;2.7;3.58;7
12.0;0.93;0.49;0.67;3.0;3.02;6
10.0;0.92;0.56;0.31;2.8;3.11;6
9.4;0.86;0.785;0.0;2.6;3.36;6
9.9;0.98;0.67;0.22;2.7;3.28;6
9.4;0.83;0.795;0.0;2.6;3.35;6
9.3;0.73;0.665;0.0;2.4;3.27;5
13.0;0.77;0.53;0.79;4.8;3.18;5
11.9;0.59;0.21;0.4;1.4;3.25;6
12.8;0.61;0.75;0.01;2.4;3.55;6
11.0;0.88;0.41;0.52;3.0;3.26;5
11.7;0.75;0.42;0.66;2.95;3.24;7
10.4;0.85;0.43;0.66;3.1;3.15;7
9.8;0.68;0.38;0.66;2.6;3.17;6
9.4;0.7;0.7;0.23;2.0;3.19;5
9.9;0.91;0.45;0.31;2.6;3.37;6
10.0;0.56;0.58;0.66;2.5;3.05;5
10.2;0.87;0.46;0.63;2.0;2.99;5
10.0;0.73;0.615;0.66;5.8;3.07;7
11.8;0.93;0.42;0.5;3.4;3.26;6
10.0;0.73;0.615;0.66;5.8;3.07;7
9.0;0.69;0.575;0.61;2.6;3.16;5
9.4;0.64;0.34;0.52;2.8;3.18;5
12.0;1.13;0.27;0.53;2.4;3.2;7
9.9;0.78;0.765;0.02;2.3;3.57;5
8.7;0.87;0.24;0.4;1.6;3.32;6
10.6;1.04;0.28;0.48;1.8;3.32;6
9.2;0.63;0.55;0.22;2.2;3.05;5
10.8;0.81;0.41;0.63;3.8;3.01;6
11.8;0.83;0.54;0.71;4.4;3.01;7
11.0;1.11;0.45;0.5;3.0;3.26;6
12.0;1.13;0.27;0.53;2.4;3.2;7
13.3;0.99;0.625;0.66;6.2;3.11;6
10.8;0.7;0.42;0.38;2.5;3.31;6
9.4;0.8;0.26;0.42;2.0;3.21;6
10.0;0.8;0.415;0.68;2.9;3.06;6
9.4;0.8;0.26;0.42;2.0;3.21;6
9.4;0.8;0.26;0.42;2.0;3.21;6
9.2;0.74;0.51;0.28;2.1;3.42;5
9.7;0.76;0.63;0.07;2.4;3.43;6
9.2;0.74;0.54;0.26;2.0;3.41;6
9.6;0.54;0.66;0.15;1.9;3.31;6
9.2;0.74;0.46;0.26;1.9;3.43;6
10.0;0.7;0.38;0.31;2.5;3.19;7
12.9;0.82;0.85;0.05;1.4;3.56;8
10.0;0.8;0.415;0.68;2.9;3.06;6
9.5;0.51;0.37;0.52;2.0;3.18;5
9.1;0.54;0.665;0.61;2.0;3.16;5
9.9;0.57;0.6;0.65;2.3;3.03;5
13.0;0.6;0.37;0.76;4.2;3.22;7
9.9;0.53;0.735;0.02;7.9;3.47;5
11.0;0.65;0.59;0.59;2.6;3.18;6
11.0;0.65;0.59;0.59;2.6;3.18;6
9.4;0.55;0.765;0.22;2.3;3.1;5
9.9;0.53;0.735;0.02;7.9;3.47;5
10.8;0.47;0.26;0.3;1.7;3.29;6
10.5;0.61;0.48;0.54;2.6;3.1;6
10.5;0.63;0.6;0.49;2.7;3.15;6
9.1;0.61;0.69;0.05;2.7;3.26;5
10.1;0.76;0.31;0.46;1.4;3.36;6
10.8;0.65;0.44;0.47;2.5;3.24;6
10.8;0.63;0.39;0.66;3.0;3.18;7
11.3;0.7;0.34;0.58;3.7;3.19;6
9.6;0.57;0.46;0.49;4.5;3.05;4
9.5;0.62;0.43;0.34;2.5;3.38;6
9.5;0.62;0.45;0.35;2.4;3.38;5
9.3;0.64;0.735;0.16;1.9;3.27;5
11.7;0.82;0.4;0.53;6.7;3.27;7
9.5;0.61;0.52;0.34;2.7;3.26;5
9.3;1.07;0.725;0.24;6.6;3.32;5
11.7;0.66;0.48;0.64;2.2;3.26;6
10.5;0.48;0.58;0.12;1.9;3.44;5
10.4;0.76;0.38;0.51;2.0;3.24;6
9.9;0.68;0.77;0.0;1.8;3.62;5
11.8;0.73;0.56;0.33;2.4;3.28;7
12.3;0.56;0.84;0.03;2.3;3.52;7
10.9;0.44;0.96;0.2;2.0;3.36;5
11.0;0.9;0.24;0.47;2.1;3.15;7
10.9;0.44;0.96;0.2;2.0;3.36;5
12.3;0.56;0.84;0.03;2.3;3.52;7
11.4;0.49;0.67;0.08;2.1;3.49;6
10.6;0.56;0.78;0.22;1.9;3.26;6
9.3;0.6;0.52;0.33;1.3;3.24;5
10.4;0.6;0.84;0.63;2.4;3.1;6
11.0;0.9;0.24;0.47;2.1;3.15;7
9.2;0.56;0.55;0.35;2.2;3.25;5
12.8;0.65;0.37;0.69;2.3;3.0;6
9.5;0.49;0.39;0.63;2.3;3.16;5
9.9;0.89;0.41;0.55;3.2;3.15;6
9.5;0.49;0.39;0.63;2.3;3.16;5
10.2;0.56;0.67;0.3;2.0;3.26;6
11.2;0.66;0.45;0.73;3.2;3.17;6
9.9;0.89;0.41;0.55;3.2;3.15;6
9.3;0.6;0.62;0.18;1.5;3.08;5
9.8;0.82;0.31;0.72;2.2;2.88;8
11.3;0.68;0.4;0.65;2.15;3.06;6
11.2;0.68;0.685;0.76;3.7;2.95;7
11.6;0.63;0.44;0.49;2.7;3.23;7
12.5;0.84;0.57;0.01;1.7;3.57;7
10.1;0.56;0.735;0.1;2.1;3.23;6
10.5;0.73;0.38;0.6;2.6;3.1;5
11.2;0.72;0.48;0.29;2.1;3.22;5
10.2;0.56;0.53;0.22;2.0;3.2;6
10.8;0.61;0.39;0.69;2.8;3.1;6
10.8;0.61;0.39;0.69;2.8;3.1;6
9.1;1.06;0.37;0.53;1.8;3.06;6
10.0;0.63;0.56;0.03;1.7;3.44;6
11.2;0.74;0.33;0.63;2.8;3.26;7
11.1;0.63;0.23;0.4;1.6;3.5;5
13.4;0.69;0.62;0.67;5.2;3.22;8
10.3;0.58;0.59;0.39;2.3;3.37;5
9.6;0.58;0.63;0.21;2.7;3.28;5
11.2;0.74;0.33;0.63;2.8;3.26;7
9.0;0.57;0.58;0.66;2.2;3.25;3
11.3;0.61;0.43;0.52;2.3;3.35;6
9.3;0.61;0.615;0.22;2.6;3.26;5
11.8;0.61;0.26;0.68;2.55;3.18;5
9.0;0.53;0.66;0.7;2.2;3.08;5
9.2;0.7;0.315;0.54;2.1;2.98;6
9.7;0.91;0.29;0.4;2.9;3.48;5
11.5;0.72;0.5;0.42;2.0;3.16;6
14.0;0.79;0.46;0.45;2.6;3.32;6
9.2;0.62;0.36;0.69;2.1;3.17;6
9.8;0.58;0.82;0.02;1.2;3.2;5
10.6;0.61;0.32;0.65;2.6;3.05;5
11.4;0.71;0.54;0.42;2.4;3.2;6
10.4;0.82;0.37;0.55;2.6;3.15;6
10.6;0.79;0.35;0.55;2.1;3.26;5
9.4;0.89;0.28;0.51;1.7;3.2;6
10.2;0.6;0.68;0.24;2.2;3.14;5
9.7;0.7;0.27;0.41;2.0;3.28;5
11.0;1.06;0.24;0.49;1.8;3.18;6
10.2;0.6;0.68;0.24;2.2;3.14;5
10.1;0.7;0.685;0.11;2.7;3.19;6
9.2;0.66;0.28;0.39;15.5;3.12;5
11.7;0.92;0.3;0.56;2.8;3.15;8
9.4;1.05;0.36;0.59;2.2;3.04;5
9.4;1.06;0.36;0.6;2.2;3.04;5
13.4;0.66;0.44;0.68;4.1;3.06;6
10.0;0.47;0.67;0.39;1.9;3.17;5
10.0;0.47;0.67;0.39;1.9;3.17;5
10.0;0.42;0.645;0.36;1.8;3.17;6
10.8;0.92;0.32;0.55;2.8;3.32;7
10.2;0.75;0.39;0.4;2.6;3.34;6
10.6;0.67;0.775;0.27;2.8;3.31;6
13.3;0.79;0.41;0.5;2.5;3.34;7
13.4;0.9;0.4;0.51;2.6;3.32;7
11.6;0.74;0.69;0.31;3.0;3.48;6
12.1;0.55;0.39;0.23;8.3;3.44;6
11.0;0.65;0.35;0.53;2.6;3.15;8
9.0;0.65;0.52;0.25;1.9;3.43;6
11.1;0.79;0.34;0.32;2.5;3.32;5
11.0;0.65;0.35;0.53;2.6;3.15;8
11.6;0.74;0.69;0.31;3.0;3.48;6
9.0;0.65;0.52;0.25;1.9;3.43;6
12.0;0.85;0.44;0.73;6.55;3.17;7
12.0;0.85;0.44;0.73;6.55;3.17;7
10.9;1.04;0.26;0.47;1.9;3.18;7
10.8;1.05;0.24;0.42;1.8;3.21;7
12.5;0.78;0.49;0.63;2.9;3.16;7
10.8;1.02;0.24;0.46;1.8;3.25;7
9.5;0.71;0.67;0.55;2.3;3.17;6
10.2;0.63;0.59;0.31;2.2;3.18;6
11.4;0.68;0.29;0.75;2.8;3.04;7
9.5;0.61;0.42;0.49;4.6;3.02;5
10.2;0.63;0.59;0.31;2.2;3.18;6
9.7;0.81;0.4;0.48;2.1;3.03;6
11.8;0.66;0.51;0.64;2.4;3.09;7
11.8;0.66;0.51;0.64;2.4;3.09;7
9.3;1.14;0.655;0.49;6.1;3.31;5
11.9;0.74;0.6;0.49;4.3;3.25;6
8.4;0.63;0.61;0.49;2.1;3.16;3
11.7;0.68;0.21;0.49;2.8;3.22;6
11.0;0.78;0.365;0.49;2.5;3.36;5
10.0;0.9;0.25;0.49;2.7;3.42;6
9.1;0.64;0.41;0.49;2.0;3.48;5
9.8;0.99;0.39;0.49;2.3;3.38;5
9.4;0.55;0.4;0.49;2.5;3.22;5
9.5;0.64;0.43;0.49;2.4;3.23;5
9.9;0.67;0.64;0.24;2.8;3.24;5
11.0;0.78;0.365;0.49;2.5;3.36;5
11.4;0.77;0.38;0.49;2.5;3.39;6
8.7;0.75;0.42;0.49;2.6;3.34;6
9.4;0.57;0.63;0.24;2.4;3.09;5
10.3;0.87;0.22;0.24;2.1;3.41;6
10.3;0.61;0.38;0.49;2.7;3.16;5
10.3;0.61;0.38;0.49;2.7;3.16;5
12.8;0.66;0.27;0.24;2.1;3.22;6
10.0;0.56;0.48;0.24;2.7;3.28;6
